GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G450","2015-2019","SC",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US45",,,"South Carolina",2163285,64328,189273,296132,365805,339709,146798,314713,71752,72178,168836,92114,41647,"South Carolina",7794,2052,3309,5014,5202,4506,3358,4784,2275,2074,3186,2554,1509
"G460","2015-2019","SD",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US46",,,"South Dakota",412547,33525,84492,81992,76756,52504,19043,27119,5079,6220,13025,7477,5315,"South Dakota",2542,1143,1981,1685,2025,1426,942,1121,413,409,720,525,490
"G470","2015-2019","TN",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US47",,,"Tennessee",2921567,75001,267585,392913,484251,460878,209418,410606,90499,103484,232919,139396,54617,"Tennessee",9249,2364,3784,4962,5817,5963,3635,4665,2571,2202,4081,2686,2075
"G480","2015-2019","TX",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US48",,,"Texas",12454299,306906,1145063,1640465,1944562,1788730,756980,1862967,374717,484219,1093299,765213,291178,"Texas",19279,4489,9479,9867,11484,9910,7673,11201,5314,6031,10489,8575,4866
"G490","2015-2019","UT",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US49",,,"Utah",1382355,52706,173920,227396,247808,217595,92080,157465,33614,38989,75176,45476,20130,"Utah",4888,1823,3045,3292,2960,3048,1918,2614,1303,1477,1895,1452,966
"G500","2015-2019","VT",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US50",,,"Vermont",300269,13981,37626,46233,47973,41978,19420,35062,10133,9947,20201,12228,5487,"Vermont",1882,798,1184,1454,1430,1289,865,1154,548,689,757,531,373
"G510","2015-2019","VA",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US51",,,"Virginia",3976470,88477,307607,466478,591658,564961,269985,576975,137248,171033,380878,294241,126929,"Virginia",8297,2031,3904,5210,5802,5666,4043,6878,3003,3016,4363,3517,2784
"G530","2015-2019","WA",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US53",,,"Washington",3349208,87697,300123,413069,499797,467641,220050,457299,109842,149702,300646,234482,108860,"Washington",8483,2726,3617,4388,5695,4919,3264,5268,2583,2752,4125,3142,2455
"G540","2015-2019","WV",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US54",,,"West Virginia",700133,27096,79756,103547,113120,97358,44688,78702,19250,22194,49458,39471,25493,"West Virginia",4523,1142,1971,2653,2585,1735,1568,2001,1175,979,1436,1395,1250
"G550","2015-2019","WI",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US55",,,"Wisconsin",2801051,117185,381619,458711,468136,409107,195420,306318,82615,89283,159133,87629,45895,"Wisconsin",6027,1956,3480,4293,4257,3278,2585,3654,1433,1967,2272,2014,1261
"G560","2015-2019","WY",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US56",,,"Wyoming",269230,23647,62509,63874,44933,22532,6629,13608,3018,4287,9017,8763,6413,"Wyoming",1876,1171,1659,1769,1527,1233,583,946,415,626,911,695,622
"G720","2015-2019","PR",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US72",,,"Puerto Rico",980135,19246,61565,113965,147537,143399,51717,160770,24212,47767,84713,89922,35322,"Puerto Rico",6287,1130,2093,2726,2809,2742,2025,3168,1502,1904,2243,2586,1714
