GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G0800910","2015-2019","CO",,,"Colorado","08","Ouray County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08091",,,"Ouray County, Colorado",1880,132,472,217,142,93,22,243,28,25,176,247,83,"Ouray County, Colorado",180,53,103,68,60,36,18,90,23,31,94,85,50
"G0800930","2015-2019","CO",,,"Colorado","08","Park County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08093",,,"Park County, Colorado",7867,395,419,403,566,1116,233,435,272,614,1474,1588,352,"Park County, Colorado",472,178,155,148,186,426,89,108,122,249,312,285,122
"G0800950","2015-2019","CO",,,"Colorado","08","Phillips County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08095",,,"Phillips County, Colorado",1815,346,584,174,148,199,13,96,36,57,79,36,47,"Phillips County, Colorado",144,87,150,83,66,67,12,47,25,34,60,26,33
"G0800970","2015-2019","CO",,,"Colorado","08","Pitkin County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08097",,,"Pitkin County, Colorado",10377,799,1747,2484,1348,988,509,1317,75,157,468,377,108,"Pitkin County, Colorado",508,387,344,407,394,304,291,480,74,106,217,224,87
"G0800990","2015-2019","CO",,,"Colorado","08","Prowers County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08099",,,"Prowers County, Colorado",5128,858,1680,876,663,286,126,187,99,39,141,76,97,"Prowers County, Colorado",256,206,260,184,144,124,60,67,43,41,67,45,66
"G0801010","2015-2019","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08101",,,"Pueblo County, Colorado",65553,1858,8598,13672,13623,9327,2711,5097,1002,1516,3900,2600,1649,"Pueblo County, Colorado",1214,289,619,703,784,629,377,458,223,356,409,347,326
"G0801030","2015-2019","CO",,,"Colorado","08","Rio Blanco County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08103",,,"Rio Blanco County, Colorado",2587,446,1009,294,230,103,51,93,0,62,102,135,62,"Rio Blanco County, Colorado",191,115,172,99,86,53,46,57,17,48,54,55,37
"G0801050","2015-2019","CO",,,"Colorado","08","Rio Grande County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08105",,,"Rio Grande County, Colorado",4258,577,970,459,472,921,189,310,52,9,104,145,50,"Rio Grande County, Colorado",270,133,199,215,134,204,87,94,80,9,64,96,42
"G0801070","2015-2019","CO",,,"Colorado","08","Routt County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08107",,,"Routt County, Colorado",12710,774,2435,2531,1789,1507,319,1850,151,374,448,277,255,"Routt County, Colorado",511,222,293,360,276,319,94,270,51,138,144,108,140
"G0801090","2015-2019","CO",,,"Colorado","08","Saguache County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08109",,,"Saguache County, Colorado",2420,243,606,303,220,254,74,235,16,94,266,75,34,"Saguache County, Colorado",193,80,161,96,77,78,52,78,14,62,105,51,28
