GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",23796,768,2548,3026,2958,3398,2170,4594,1025,665,1624,720,300,"Autauga County, Alabama",733,224,481,438,384,521,398,545,249,202,338,226,141
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",87084,1725,8292,11385,12898,11732,5685,13879,2352,4114,8399,4948,1675,"Baldwin County, Alabama",1779,320,814,930,969,1049,829,1131,401,624,873,792,336
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",8108,541,1413,1488,1224,784,335,839,198,134,469,500,183,"Barbour County, Alabama",451,131,230,268,189,166,117,177,67,65,178,140,69
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",7910,241,480,1043,1341,466,219,887,507,500,1420,743,63,"Bibb County, Alabama",569,141,230,320,261,191,116,245,197,195,327,267,53
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",21361,593,2179,1753,1578,1900,776,2314,950,976,4546,3230,566,"Blount County, Alabama",672,168,382,314,316,341,187,287,219,228,408,432,174
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",4239,237,525,839,419,325,48,357,289,115,578,392,115,"Bullock County, Alabama",530,149,261,337,183,144,45,179,252,88,323,215,130
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",7724,257,1060,1160,1225,1324,238,932,105,175,699,401,148,"Butler County, Alabama",355,79,188,291,251,223,73,187,86,78,196,168,60
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",46008,1644,4527,6587,7898,7306,2991,6465,1042,1118,2772,2477,1181,"Calhoun County, Alabama",1072,370,579,678,721,647,420,574,244,302,370,418,240
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",14085,462,1433,2040,2821,2182,767,1818,256,412,1057,603,234,"Chambers County, Alabama",491,181,278,347,356,307,200,298,105,141,249,185,98
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",9703,223,963,1263,1268,812,396,1633,340,370,1442,653,340,"Cherokee County, Alabama",496,96,216,233,253,211,135,280,142,156,282,179,122
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",16871,480,1225,1774,1845,2068,841,1593,951,474,2909,2368,343,"Chilton County, Alabama",735,185,291,325,326,422,314,274,280,155,408,437,125
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",3997,159,420,246,618,372,222,475,73,175,473,510,254,"Choctaw County, Alabama",313,72,113,96,179,142,91,143,39,101,137,143,129
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",7588,301,1180,1172,1179,478,168,911,215,294,761,689,240,"Clarke County, Alabama",483,106,228,284,255,152,62,198,77,133,194,203,81
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",5215,246,666,642,964,646,122,459,88,152,421,549,260,"Clay County, Alabama",367,108,199,214,220,170,104,162,73,93,165,218,127
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",5246,260,329,388,483,667,381,743,320,200,787,295,393,"Cleburne County, Alabama",333,125,109,128,161,144,117,182,96,84,171,117,121
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",21778,847,2693,3929,3284,3866,1212,2417,501,662,1325,545,497,"Coffee County, Alabama",542,178,301,431,355,388,252,286,119,173,224,162,132
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",21984,377,2710,3594,3858,3938,1177,2901,277,440,1224,1092,396,"Colbert County, Alabama",567,142,442,408,407,434,226,334,112,116,310,230,133
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",4139,148,427,884,483,564,103,552,100,177,254,259,188,"Conecuh County, Alabama",350,82,233,244,149,211,59,169,60,127,85,158,86
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",3881,111,230,437,521,657,388,506,69,143,378,354,87,"Coosa County, Alabama",363,69,93,146,179,151,177,175,80,91,149,135,57
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",14446,651,2316,2466,2268,2155,366,1539,232,326,841,643,643,"Covington County, Alabama",461,133,301,264,334,290,112,259,105,131,171,163,137
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",5367,405,582,457,657,549,232,859,156,150,577,559,184,"Crenshaw County, Alabama",289,124,123,109,143,144,76,167,65,65,116,122,84
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",33080,1596,4143,5287,4899,4413,1523,2655,616,655,3174,3024,1095,"Cullman County, Alabama",969,303,496,499,609,471,296,315,162,148,408,356,293
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",19744,763,2499,3478,3956,2876,974,2505,375,501,957,407,453,"Dale County, Alabama",699,198,413,414,393,303,228,288,126,167,165,160,132
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",13763,418,2026,2515,2678,1443,665,1265,342,107,977,945,382,"Dallas County, Alabama",559,120,373,309,337,265,181,206,138,78,242,217,142
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",28431,1195,2721,4204,4848,4315,1994,3716,677,660,2124,1511,466,"DeKalb County, Alabama",850,290,391,537,580,573,373,543,185,184,384,333,105
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",33106,1022,2748,2639,4149,4846,3262,5630,2132,1310,3613,1195,560,"Elmore County, Alabama",846,347,459,384,577,514,453,591,452,255,425,282,151
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",12517,466,1651,2936,2308,1456,259,1170,200,369,689,767,246,"Escambia County, Alabama",625,157,278,384,392,274,162,242,106,151,172,210,87
"G0100550","2015-2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",40256,971,4395,6993,7583,6070,2839,4073,768,775,2539,2160,1090,"Etowah County, Alabama",1139,248,509,589,621,536,360,471,201,202,362,321,249
"G0100570","2015-2019","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",6131,375,569,677,805,657,330,732,110,192,677,841,166,"Fayette County, Alabama",370,143,152,150,221,150,117,195,80,119,174,178,78
"G0100590","2015-2019","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",12621,401,1481,1466,1965,1355,613,2009,187,554,1164,993,433,"Franklin County, Alabama",505,158,339,244,431,315,229,408,110,233,237,279,177
"G0100610","2015-2019","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",9846,510,1222,1068,1281,988,733,1599,363,370,731,463,518,"Geneva County, Alabama",546,168,261,270,253,191,184,258,120,131,158,130,155
"G0100630","2015-2019","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",2310,143,256,172,215,227,75,174,10,198,229,419,192,"Greene County, Alabama",294,85,125,134,112,117,54,95,10,172,127,242,145
"G0100650","2015-2019","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",5075,126,430,519,357,622,312,897,136,157,941,465,113,"Hale County, Alabama",416,74,112,159,111,162,108,176,58,77,269,155,64
"G0100670","2015-2019","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",6594,220,512,558,1207,915,690,1090,120,241,528,337,176,"Henry County, Alabama",327,110,133,179,234,189,191,203,47,96,137,81,85
"G0100690","2015-2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",42623,833,4785,7178,8868,7931,2048,6333,720,770,1730,824,603,"Houston County, Alabama",566,105,263,303,376,398,226,400,111,111,187,102,77
"G0100710","2015-2019","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",19414,729,2235,2803,2666,2101,1122,2437,483,779,2413,1239,407,"Jackson County, Alabama",685,185,361,422,401,320,261,392,137,207,377,280,133
"G0100730","2015-2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",289916,4468,21474,35834,52257,52805,25137,48091,9708,9612,18142,8266,4122,"Jefferson County, Alabama",2226,579,1346,1451,1802,1667,1178,1696,798,720,1009,732,395
"G0100750","2015-2019","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",5146,258,632,658,507,385,502,553,315,197,674,356,109,"Lamar County, Alabama",255,105,176,159,159,125,173,131,128,118,174,149,81
"G0100770","2015-2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",38848,996,4688,6503,7413,4836,1997,4031,1019,1156,2798,2484,927,"Lauderdale County, Alabama",886,232,486,565,711,499,291,430,284,245,351,382,254
"G0100790","2015-2019","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",11982,252,817,1049,1617,1327,952,2278,564,700,1505,675,246,"Lawrence County, Alabama",548,78,218,217,339,269,205,307,154,175,232,181,103
"G0100810","2015-2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",70929,1196,8091,12960,13390,10857,4148,8741,1467,1526,5154,2020,1379,"Lee County, Alabama",1484,274,730,931,877,895,485,952,357,352,749,406,318
"G0100830","2015-2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",39178,575,3150,4835,4883,5861,2978,6077,2062,1944,4630,1622,561,"Limestone County, Alabama",1039,220,470,613,525,651,542,574,286,302,534,395,184
"G0100850","2015-2019","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",3327,95,219,161,308,307,292,732,273,226,378,257,79,"Lowndes County, Alabama",240,48,99,59,94,124,102,178,86,99,92,103,52
"G0100870","2015-2019","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",6834,161,951,1171,536,1200,360,1046,181,228,653,256,91,"Macon County, Alabama",352,58,193,201,128,256,96,206,84,85,149,82,50
"G0100890","2015-2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",168546,2927,14665,23011,33926,33566,15313,27108,4276,3598,7014,1666,1476,"Madison County, Alabama",1856,520,759,1200,1407,1331,1089,1148,543,493,732,300,291
"G0100910","2015-2019","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",6325,697,1175,895,685,647,279,544,142,48,481,527,205,"Marengo County, Alabama",373,244,261,263,232,195,93,165,98,29,212,262,101
"G0100930","2015-2019","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",11463,552,2053,2013,1929,1040,538,918,223,264,844,692,397,"Marion County, Alabama",482,152,377,364,313,219,168,197,88,131,211,197,145
"G0100950","2015-2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",37738,2269,5345,6901,5645,4144,1100,3462,829,1138,3655,2154,1096,"Marshall County, Alabama",875,359,519,479,718,420,222,464,202,221,465,337,261
"G0100970","2015-2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",165076,3025,11022,19370,30998,28429,11126,33007,4028,4332,11549,5668,2522,"Mobile County, Alabama",2409,404,1018,1124,1360,1163,922,1337,549,526,672,592,386
"G0100990","2015-2019","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",6149,218,1270,1147,759,713,136,514,68,117,474,404,329,"Monroe County, Alabama",408,81,382,226,170,275,63,156,40,62,160,129,147
"G0101010","2015-2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",96594,1866,9114,17924,22165,18558,6585,11044,1609,1162,3390,1617,1560,"Montgomery County, Alabama",1374,294,679,921,1156,941,673,798,310,265,432,363,329
"G0101030","2015-2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",50178,1396,6146,8016,8064,6788,2991,6964,1422,1819,4460,1498,614,"Morgan County, Alabama",1126,292,657,588,675,608,487,598,248,317,617,288,177
"G0101050","2015-2019","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",2539,279,368,360,180,357,110,214,28,141,273,96,133,"Perry County, Alabama",526,182,163,211,116,166,82,152,31,147,236,69,93
"G0101070","2015-2019","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",6386,289,535,673,586,573,269,879,297,251,1068,713,253,"Pickens County, Alabama",314,122,181,196,183,144,116,183,80,83,221,199,111
"G0101090","2015-2019","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",13599,465,2361,2827,1905,2318,496,1451,79,238,645,660,154,"Pike County, Alabama",686,162,412,436,316,514,197,247,38,117,151,150,82
"G0101110","2015-2019","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",8416,519,761,1336,1496,519,163,874,288,263,1309,644,244,"Randolph County, Alabama",426,152,155,262,253,148,79,227,122,113,287,157,84
"G0101130","2015-2019","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",23880,512,1547,3156,3841,4777,1723,3863,801,993,1884,409,374,"Russell County, Alabama",830,197,304,584,504,611,309,524,249,275,379,126,143
"G0101150","2015-2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",37061,983,2461,3067,4015,4472,2347,6228,2399,2645,5892,2048,504,"St. Clair County, Alabama",1099,336,455,490,602,519,376,751,454,428,640,350,165
"G0101170","2015-2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",99942,1928,6696,10214,11520,14233,7744,17265,4771,5480,11346,7027,1718,"Shelby County, Alabama",1219,376,675,736,794,872,674,883,476,581,854,597,267
"G0101190","2015-2019","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",4001,439,813,373,383,242,189,649,166,33,286,274,154,"Sumter County, Alabama",403,184,241,135,155,100,80,173,86,29,108,127,106
"G0101210","2015-2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",29673,1425,3763,4414,4942,4285,1190,3221,737,574,2535,1810,777,"Talladega County, Alabama",771,323,451,447,607,622,258,484,233,165,367,364,156
"G0101230","2015-2019","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",14545,466,1941,2182,2302,1431,602,1558,530,359,1391,1237,546,"Tallapoosa County, Alabama",595,149,402,380,375,272,163,260,192,133,298,244,149
"G0101250","2015-2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",89310,1753,8140,14463,16413,18759,6453,10031,1775,2158,4559,3572,1234,"Tuscaloosa County, Alabama",1556,283,1010,934,1054,1313,624,957,307,373,546,472,290
"G0101270","2015-2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",23376,869,2595,3156,3211,2865,1242,2576,553,660,2572,2392,685,"Walker County, Alabama",706,228,373,444,414,327,273,334,147,203,305,366,187
"G0101290","2015-2019","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",5437,223,402,612,549,566,297,734,128,227,784,661,254,"Washington County, Alabama",374,75,183,195,145,151,135,234,95,91,234,208,116
"G0101310","2015-2019","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",2882,140,409,430,297,249,39,613,70,42,254,243,96,"Wilcox County, Alabama",248,63,111,134,115,90,28,210,64,32,107,86,54
"G0101330","2015-2019","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",8590,395,1344,948,765,759,377,1145,362,266,876,755,598,"Winston County, Alabama",389,123,290,215,178,191,120,239,143,92,206,221,208
"G0200130","2015-2019","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",2047,701,1082,185,29,26,15,9,0,0,0,0,0,"Aleutians East Borough, Alaska",156,140,225,36,19,11,10,7,9,9,9,9,9
"G0200160","2015-2019","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",3708,329,1901,1205,157,32,25,6,4,2,6,41,0,"Aleutians West Census Area, Alaska",178,79,283,214,43,16,22,15,7,2,8,36,13
"G0200200","2015-2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",147034,4433,19501,30611,35179,27981,6796,11871,1449,1935,3415,1651,2212,"Anchorage Municipality, Alaska",1449,534,1139,1418,1174,1184,645,1014,293,363,499,343,425
"G0200500","2015-2019","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",5758,1533,2591,1066,280,95,31,104,5,2,30,21,0,"Bethel Census Area, Alaska",271,187,273,175,84,40,32,80,5,3,30,19,15
"G0200600","2015-2019","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",433,118,179,61,29,26,8,8,0,1,0,2,1,"Bristol Bay Borough, Alaska",77,52,48,24,10,12,7,5,9,3,9,4,3
"G0200680","2015-2019","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",1410,120,325,411,133,168,20,89,18,21,17,60,28,"Denali Borough, Alaska",712,57,161,486,73,78,20,50,20,17,13,93,21
"G0200700","2015-2019","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",1823,543,580,382,196,28,20,44,0,10,17,1,2,"Dillingham Census Area, Alaska",130,122,104,56,60,14,12,20,9,8,11,2,3
"G0200900","2015-2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",49137,2220,7158,9708,10165,6740,4260,4731,579,793,1367,743,673,"Fairbanks North Star Borough, Alaska",1090,359,639,743,940,657,564,620,269,245,386,255,201
"G0201000","2015-2019","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",916,248,465,67,36,53,0,8,2,0,0,35,2,"Haines Borough, Alaska",167,112,173,44,42,44,9,10,3,9,9,43,5
"G0201050","2015-2019","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",905,307,234,156,69,57,12,39,0,5,3,3,20,"Hoonah-Angoon Census Area, Alaska",105,51,99,66,25,28,9,22,9,6,4,4,11
"G0201100","2015-2019","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",16279,743,3019,4177,3408,2537,610,1016,104,87,242,93,243,"Juneau City and Borough, Alaska",461,214,354,434,414,347,182,210,88,52,134,40,92
"G0201220","2015-2019","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",22815,2410,4692,4026,3948,2726,1143,1548,315,283,630,338,756,"Kenai Peninsula Borough, Alaska",675,375,498,427,451,403,269,265,113,98,169,118,199
"G0201300","2015-2019","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",6913,709,1670,1436,1366,882,282,374,25,49,26,28,66,"Ketchikan Gateway Borough, Alaska",164,113,162,166,144,120,71,75,18,26,14,19,25
"G0201500","2015-2019","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",6704,839,2086,1851,1016,491,115,134,13,40,15,53,51,"Kodiak Island Borough, Alaska",305,198,307,337,246,174,89,78,13,41,23,46,69
"G0201580","2015-2019","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158",,,"Kusilvak Census Area, Alaska",2100,663,889,396,108,3,0,15,0,5,5,7,9,"Kusilvak Census Area, Alaska",121,131,173,141,32,4,13,9,13,5,5,8,8
"G0201640","2015-2019","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",603,276,242,57,11,0,3,2,0,0,3,8,1,"Lake and Peninsula Borough, Alaska",164,87,86,32,8,9,4,3,9,9,4,19,3
"G0201700","2015-2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",40347,1548,3851,5037,5993,4636,1361,3259,639,1013,4659,5926,2425,"Matanuska-Susitna Borough, Alaska",706,186,311,423,385,361,158,347,157,136,383,385,245
"G0201800","2015-2019","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",3462,1451,1117,495,177,108,46,49,0,1,10,6,2,"Nome Census Area, Alaska",199,194,111,272,37,39,29,36,13,4,8,6,3
